UP = INTENSIÓN, MÁS, TODO!
En muchos de estos casos, añadir "Up" al verbo no cambia el significado básico, sino que le añade una capa de completitud (hacerlo al 100%), intensidad o finalización.
Phrasal Verb	Pronunciación (IPA)	Traducción al Español	Algo para recordar
Clean up	/kliːn ʌp/	Limpiar completamente	Piensa en "limpieza profunda", no solo pasar el trapo.
Finish up	/ˈfɪnɪʃ ʌp/	Terminar completamente	Es dar los últimos toques para cerrar un ciclo.
Wake up	/weɪk ʌp/	Despertarse	El proceso de "subir" de la inconsciencia al estado alerta.
Stand up	/stænd ʌp/	Ponerse de pie	Movimiento físico hacia arriba.
Sit up	/sɪt ʌp/	Sentarse derecho	"Subir" la postura para estar erguido.
Speed up	/spiːd ʌp/	Acelerar	Ir a "más" velocidad.
Open up	/ˈəʊpən ʌp/	Abrir completamente / Sincerarse	Abrir algo del todo o abrir el corazón.
Dress up	/dres ʌp/	Vestirse elegantemente	"Subir" el nivel de tu ropa (disfraz o gala).
Hurry up	/ˈhʌri ʌp/	Apurarse	Meterle "más" prisa a lo que haces.
Fill up	/fɪl ʌp/	Llenar completamente	Hasta el tope, que ya no quepa "más".
Break up	/breɪk ʌp/	Terminar (relación)	Romper en pedazos algo que estaba unido.
Tie up	/taɪ ʌp/	Atar completamente	Dejar algo bien asegurado con nudos.
Tidy up	/ˈtaɪdi ʌp/	Ordenar completamente	Poner cada cosa en su lugar de forma impecable.
Call up	/kɔːl ʌp/	Llamar por teléfono	Imagina "levantar" el teléfono para marcar.
Clear up	/klɪər ʌp/	Aclarar (confusión/clima)	Cuando las nubes o dudas se "van hacia arriba" y sale el sol.
Warm up	/wɔːm ʌp/	Calentar (antes de actividad)	"Subir" la temperatura del cuerpo.
Lock up	/lɒk ʌp/	Cerrar con llave / Asegurar	Cerrar todo para que quede totalmente protegido.
Speak up	/spiːk ʌp/	Hablar más fuerte / Opinar	"Subir" el volumen de tu voz.
Check up	/tʃek ʌp/	Chequeo médico / Revisión	Una revisión completa de pies a cabeza.

